pitch_type,release_speed,player_name,pitcher,p_throws,balls,strikes,inning,inning_topbot,launch_angle,launch_speed,effective_speed,iso_value,woba_value,estimated_woba_using_speedangle,estimated_ba_using_speedangle,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,events,n_priorpa_thisgame_player_at_bat,zone
ST,80.6,"Murray, Tanner",608723,R,2,1,3,Bot,,,79.8,,,,,,0.064,,,1,14
FF,92.5,"Murray, Tanner",608723,R,1,1,3,Bot,,,92.1,,,,,,-0.02,,,1,12
CU,75.3,"Murray, Tanner",608723,R,1,0,3,Bot,,,74.0,,,,,,0.044,,,1,14
FC,87.8,"Murray, Tanner",608723,R,0,0,3,Bot,,,88.1,,,,,,-0.019,,,1,14
FC,88.4,"Sosa, Lenyn",608723,R,1,1,3,Bot,15.0,101.7,88.1,1.0,1.25,0.679,0.654,0.934,-0.93,101.7,double,1,5
SI,91.8,"Sosa, Lenyn",608723,R,0,1,3,Bot,,,92.0,,,,,,-0.015,,,1,13
SI,91.5,"Sosa, Lenyn",608723,R,0,0,3,Bot,44.0,69.5,91.4,,,,,,0.04,88.0,,1,8
FC,86.7,"Quero, Edgar",608723,R,3,2,3,Bot,-33.0,94.1,86.9,0.0,0.0,0.049,0.054,0.063,0.383,94.1,field_out,1,5
FC,86.5,"Quero, Edgar",608723,R,2,2,3,Bot,,,86.1,,,,,,-0.098,,,1,12
CU,75.4,"Quero, Edgar",608723,R,1,2,3,Bot,,,74.2,,,,,,-0.044,,,1,14
FS,84.7,"Quero, Edgar",608723,R,0,2,3,Bot,,,84.4,,,,,,-0.01,,,1,11
CU,75.1,"Quero, Edgar",608723,R,0,1,3,Bot,,,74.1,,,,,,0.047,,,1,13
FC,85.8,"Quero, Edgar",608723,R,0,0,3,Bot,45.0,70.0,85.6,,,,,,0.04,88.0,,1,5
ST,79.8,"Vargas, Miguel",608723,R,0,1,3,Bot,29.0,93.2,80.1,0.0,0.0,0.195,0.131,0.339,0.199,93.2,field_out,1,14
FC,86.6,"Vargas, Miguel",608723,R,0,0,3,Bot,48.0,69.8,86.5,,,,,,0.043,88.0,,1,6
